onset	duration	trial_type	value	sample
0.0015	0.016	fr_PHR1-2	4	3
0.0015	0.0515	ripple_AHR3-4	10	3
0.0525	0.0695	ripple_HL2-3	16	105
0.053	0.051	ripple_HL3-4	17	106
0.1795	0.042	ripple_IAR1-2	18	359
0.268	0.084	ripple_AR1-2	12	536
0.2875	0.064	ripple_AR2-3	13	575
0.3705	0.0425	ripple_IAR4-5	21	741
0.398	0.053	ripple_IAR2-3	19	796
0.4085	0.0355	ripple_AR2-3	13	817
0.4975	0.035	ripple_HL1-2	15	995
0.8725	0.0105	fr_IAR1-2	2	1745
0.919	0.052	ripple_IAR1-2	18	1838
0.9355	0.035	ripple_IAR2-3	19	1871
1.0895	0.065	ripple_IAR2-3	19	2179
1.244	0.0405	ripple_IAR1-2	18	2488
1.812	0.0915	ripple_HL3-4	17	3624
1.9795	0.0555	ripple_IPR3-4	24	3959
2.1135	0.0685	ripple_HL1-2	15	4227
2.137	0.043	ripple_HL2-3	16	4274
2.152	0.1175	ripple_HL3-4	17	4304
2.1525	0.075	ripple_AR1-2	12	4305
2.1555	0.07	ripple_AR2-3	13	4311
2.181	0.0625	ripple_IAR2-3	19	4362
2.551	0.0925	ripple_IAR2-3	19	5102
2.581	0.064	ripple_IAR3-4	20	5162
2.671	0.0565	ripple_IAR3-4	20	5342
2.7735	0.015	fr_IAR5-6	3	5547
2.7925	0.0595	ripple_AR1-2	12	5585
2.793	0.0665	ripple_AR2-3	13	5586
2.8805	0.0475	ripple_HL3-4	17	5761
3.065	0.0365	ripple_IAR3-4	20	6130
3.1985	0.042	ripple_IAR2-3	19	6397
3.361	0.0445	ripple_IAR2-3	19	6722
3.479	0.3385	ripple_AR2-3	13	6958
3.48	0.3595	ripple_AR1-2	12	6960
3.491	0.0775	ripple_PHR2-3	25	6982
3.491	0.0775	fr_PHR2-3	5	6982
3.491	0.0775	frandr_PHR2-3	7	6982
3.4965	0.111	ripple_AHR1-2	8	6993
3.5015	0.078	ripple_HL2-3	16	7003
3.5075	0.074	ripple_PHR3-4	26	7015
3.509	0.0785	ripple_HL3-4	17	7018
3.51	0.196	ripple_AHR3-4	10	7020
3.517	0.0665	ripple_AR3-4	14	7034
3.5175	0.074	ripple_AHR2-3	9	7035
3.526	0.025	fr_PHR1-2	4	7052
3.5555	0.0375	ripple_IAR2-3	19	7111
3.6965	0.0415	ripple_HL1-2	15	7393
3.7145	0.036	ripple_IPR2-3	23	7429
3.7385	0.037	ripple_IAR1-2	18	7477
4.0105	0.06300000000000046	ripple_IAR1-2	18	8021
4.068	0.0565	ripple_HL2-3	16	8136
4.0705	0.09149999999999954	ripple_HL3-4	17	8141
4.0785	0.01249999999999909	fr_AR1-2	1	8157
4.1495	0.0425	ripple_IAR5-6	22	8299
4.154	0.039	ripple_IAR4-5	21	8308
4.2315	0.0385	ripple_HL2-3	16	8463
4.3185	0.0465	ripple_HL2-3	16	8637
4.3215	0.042	ripple_HL3-4	17	8643
4.497	0.012	fr_PHR3-4	6	8994
4.5035	0.04	ripple_IAR1-2	18	9007
4.6605	0.0525	ripple_HL3-4	17	9321
4.7345	0.123	ripple_HL3-4	17	9469
4.765	0.033	ripple_HL2-3	16	9530
4.8635	0.0515	ripple_AL1-2	11	9727
4.9135	0.0545	ripple_IAR3-4	20	9827
4.996	0.004	ripple_HL3-4	17	9992
